Date,Centre_Name,Commodity_Name,Price
03-02-09,T.PURAM,Tomato,NA
03-02-09,CHENNAI,Tomato,NA
03-02-09,HYDERABAD,Tomato,NA
04-02-09,CHANDIGARH,Tomato,NA
04-02-09,DELHI,Tomato,NA
04-02-09,SHIMLA,Tomato,NA
04-02-09,SRINAGAR,Tomato,NA
04-02-09,JAMMU,Tomato,NA
04-02-09,AMRITSAR,Tomato,NA
04-02-09,LUDHIANA,Tomato,NA
04-02-09,LUCKNOW,Tomato,NA
04-02-09,DEHRADUN,Tomato,NA
04-02-09,RAIPUR,Tomato,NA
04-02-09,AHMEDABAD,Tomato,NA
04-02-09,BHOPAL,Tomato,NA
04-02-09,MUMBAI,Tomato,NA
04-02-09,JAIPUR,Tomato,500
04-02-09,PATNA,Tomato,NA
04-02-09,RANCHI,Tomato,NA
04-02-09,BHUBANESHWAR,Tomato,NA
04-02-09,KOLKATA,Tomato,NA
04-02-09,GUWAHATI,Tomato,NA
04-02-09,SHILLONG,Tomato,NA
04-02-09,AIZWAL,Tomato,NA
04-02-09,KOHIMA,Tomato,NA
04-02-09,AGARTALA,Tomato,NA
04-02-09,BENGALURU,Tomato,NA
04-02-09,T.PURAM,Tomato,NA
04-02-09,CHENNAI,Tomato,NA
04-02-09,HYDERABAD,Tomato,NA
05-02-09,CHANDIGARH,Tomato,NA
05-02-09,DELHI,Tomato,NA
05-02-09,SHIMLA,Tomato,NA
05-02-09,SRINAGAR,Tomato,NA
05-02-09,JAMMU,Tomato,NA
05-02-09,AMRITSAR,Tomato,NA
05-02-09,LUDHIANA,Tomato,NA
05-02-09,LUCKNOW,Tomato,NA
05-02-09,DEHRADUN,Tomato,NA
05-02-09,RAIPUR,Tomato,NA
05-02-09,AHMEDABAD,Tomato,NA
05-02-09,BHOPAL,Tomato,NA
05-02-09,MUMBAI,Tomato,NA
05-02-09,JAIPUR,Tomato,NA
05-02-09,PATNA,Tomato,NA
05-02-09,RANCHI,Tomato,NA
05-02-09,BHUBANESHWAR,Tomato,NA
05-02-09,KOLKATA,Tomato,NA
05-02-09,GUWAHATI,Tomato,NA
05-02-09,SHILLONG,Tomato,NA
05-02-09,AIZWAL,Tomato,NA
05-02-09,KOHIMA,Tomato,NA
05-02-09,AGARTALA,Tomato,NA
05-02-09,BENGALURU,Tomato,NA
05-02-09,T.PURAM,Tomato,NA
05-02-09,CHENNAI,Tomato,NA
05-02-09,HYDERABAD,Tomato,NA
06-02-09,CHANDIGARH,Tomato,NA
